# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX
  279,20200811,  266,  186,  338
  279,20200812,  260,  191,  335
  279,20200813,  251,  189,  324
  279,20200814,  223,  184,  291
  279,20200815,  216,  182,  251
  279,20200816,  227,  158,  300
  279,20200817,  186,  140,  233
  279,20200818,  177,  120,  239
  279,20200819,  200,  106,  265
  279,20200820,  231,  190,  271
  279,20200821,  231,  162,  296
  279,20200822,  185,  147,  236
  279,20200823,  163,  127,  208
  279,20200824,  156,  100,  201
  279,20200825,  155,   94,  184
  279,20200826,  157,  130,  178
  279,20200827,  155,  112,  190
  279,20200828,  151,  109,  205
  279,20200829,  147,  111,  189
  279,20200830,  150,  118,  193
  279,20200831,  143,   79,  194
  279,20200901,  129,   56,  204
  279,20200902,  135,   54,  210
  279,20200903,  140,   91,  181
  279,20200904,  170,  141,  212
  279,20200905,  143,  103,  186
  279,20200906,  131,   81,  176
  279,20200907,  138,   78,  197
  279,20200908,  166,  137,  188
  279,20200909,  162,   98,  197
  279,20200910,  136,   85,  183
  279,20200911,  133,   81,  192
  279,20200912,  133,   76,  197
  279,20200913,  160,  100,  229
  279,20200914,  183,   81,  280
  279,20200915,  202,  117,  306
  279,20200916,  170,   93,  241
  279,20200917,  122,   66,  183
  279,20200918,  125,   56,  203
  279,20200919,  135,   65,  224
  279,20200920,  134,   43,  223
  279,20200921,  141,   51,  243
  279,20200922,  133,   47,  228
  279,20200923,  156,   71,  225
  279,20200924,  144,  115,  180
  279,20200925,  114,   94,  145
  279,20200926,  116,   79,  144
  279,20200927,  133,  114,  162
  279,20200928,  118,  111,  125
  279,20200929,  129,  111,  167
  279,20200930,  153,  123,  190
  279,20201001,  132,   84,  165
  279,20201002,  129,   70,  174
  279,20201003,  131,   92,  165
  279,20201004,  114,   91,  145
  279,20201005,  112,   97,  125
  279,20201006,  121,   98,  140
  279,20201007,  120,  102,  154
  279,20201008,  122,   98,  153
  279,20201009,  113,   87,  146
  279,20201010,   75,   47,  111
  279,20201011,   85,   52,  121
  279,20201012,   94,   69,  134
  279,20201013,   87,   60,  136
  279,20201014,   92,   62,  116
  279,20201015,   89,   68,  116
  279,20201016,   84,   62,  117
  279,20201017,   73,   22,  123
  279,20201018,   84,   21,  130
  279,20201019,   86,   61,  119
  279,20201020,  105,   64,  139
  279,20201021,  148,  122,  187
  279,20201022,  135,   97,  170
  279,20201023,  117,   66,  163
  279,20201024,  129,  100,  149
  279,20201025,  119,   90,  152
  279,20201026,   99,   86,  119
  279,20201027,   96,   77,  116
  279,20201028,  102,   87,  131
  279,20201029,  102,   70,  131
  279,20201030,  139,  130,  146
  279,20201031,  132,  110,  143
  279,20201101,  136,   97,  174
  279,20201102,  159,  103,  194
  279,20201103,   91,   67,  123
  279,20201104,   68,   31,  121
  279,20201105,   69,   20,  110
  279,20201106,   81,   50,  117
  279,20201107,   64,   13,  121
  279,20201108,   72,   24,  134
  279,20201109,   79,   47,  117
  279,20201110,   59,   44,   73
  279,20201111,   96,   72,  113
  279,20201112,   97,   62,  124
  279,20201113,   89,   48,  117
  279,20201114,  114,   85,  142
  279,20201115,  122,   81,  158
  279,20201116,   96,   77,  120
  279,20201117,  116,   82,  126
  279,20201118,  123,  111,  139
  279,20201119,   74,   23,  125
  279,20201120,   48,   20,   89
  279,20201121,   74,   33,   94
