STN,YYYYMMDD,TG,TN,TX
279,20220724,218,126,284
279,20220725,210,177,248
279,20220726,163,110,204
279,20220727,139,73,203
279,20220728,150,63,211
279,20220729,170,118,237
279,20220730,181,96,239
279,20220731,185,160,207
279,20220801,170,92,218
279,20220802,196,86,269
279,20220803,226,162,301
279,20220804,216,156,284
279,20220805,170,89,224
279,20220806,148,65,215
279,20220807,159,72,239
279,20220808,162,79,229
279,20220809,176,90,256
279,20220810,204,114,286
279,20220811,223,119,307
279,20220812,227,129,315
279,20220813,233,127,311
279,20220814,237,168,312
279,20220815,224,164,282
279,20220816,221,155,295
279,20220817,192,143,235
279,20220818,194,132,241
279,20220819,195,115,262
279,20220820,188,127,237
279,20220821,180,107,244
279,20220822,187,130,250
279,20220823,208,116,292
279,20220824,227,137,312
279,20220825,240,178,312
279,20220826,190,137,217
279,20220827,166,100,225
279,20220828,153,81,220
279,20220829,172,121,222
279,20220830,176,113,232
279,20220831,171,113,234
279,20220901,169,93,244
279,20220902,185,100,254
279,20220903,194,134,261
279,20220904,200,116,273
279,20220905,216,132,296
279,20220906,217,159,292
279,20220907,182,153,241
279,20220908,163,128,194
279,20220909,159,123,197
279,20220910,162,116,209
279,20220911,158,92,223
279,20220912,173,97,238
279,20220913,164,96,212
279,20220914,144,89,201
279,20220915,138,107,188
279,20220916,126,94,171
279,20220917,110,89,151
279,20220918,109,94,125
279,20220919,119,82,164
279,20220920,107,47,169
279,20220921,94,23,174
279,20220922,105,26,183
279,20220923,119,55,165
279,20220924,123,61,150
279,20220925,106,53,160
279,20220926,110,97,124
279,20220927,92,67,123
279,20220928,89,50,139
279,20220929,88,22,157
279,20220930,110,30,167
279,20221001,128,105,170
279,20221002,129,95,177
279,20221003,121,71,171
279,20221004,138,84,176
279,20221005,157,132,180
279,20221006,123,79,172
279,20221007,126,74,176
279,20221008,113,62,165
279,20221009,91,19,157
279,20221010,95,53,152
279,20221011,85,33,162
279,20221012,88,26,150
279,20221013,117,84,140
279,20221014,124,89,152
279,20221015,130,102,157
279,20221016,136,103,176
279,20221017,146,117,174
279,20221018,122,86,166
279,20221019,98,66,136
279,20221020,100,59,131
279,20221021,139,99,176
279,20221022,129,87,171
279,20221023,135,85,171
279,20221024,147,120,172
279,20221025,128,81,169
279,20221026,135,71,188
279,20221027,157,109,203
279,20221028,162,105,206
279,20221029,144,82,204
279,20221030,150,115,198
279,20221031,121,60,156
279,20221101,146,122,164
279,20221102,118,104,145
279,20221103,123,104,155
279,20221104,87,37,124
279,20221105,84,36,116
279,20221106,99,79,125
279,20221107,126,107,142
279,20221108,132,109,147
279,20221109,119,89,142
279,20221110,111,83,145
279,20221111,94,39,127
279,20221112,64,11,130
279,20221113,78,35,143
279,20221114,69,44,91
279,20221115,106,71,133
279,20221116,100,76,123
279,20221117,85,69,106
279,20221118,46,6,71
279,20221119,-9,-46,25
279,20221120,-1,-46,25
279,20221121,15,-32,38
279,20221122,61,30,77
279,20221123,82,67,102
279,20221124,77,58,108
279,20221125,78,35,112
279,20221126,57,23,83
279,20221127,59,50,69
279,20221128,79,62,86
279,20221129,74,66,87
279,20221130,57,38,68
279,20221201,50,31,61
279,20221202,20,14,31
279,20221203,11,-3,30
279,20221204,14,-4,38
279,20221205,48,38,52
279,20221206,46,16,66
279,20221207,31,13,58
279,20221208,25,11,47
279,20221209,-1,-32,23
279,20221210,-21,-44,-10
279,20221211,-1,-10,4
279,20221212,-11,-53,12
279,20221213,-43,-71,-1
279,20221214,-55,-86,-1
279,20221215,-25,-76,15
279,20221216,-9,-23,6
279,20221217,-23,-45,-6
279,20221218,-33,-92,6
279,20221219,64,5,97
279,20221220,99,84,108
279,20221221,78,70,86
279,20221222,76,52,91
279,20221223,74,61,92
279,20221224,77,24,102
279,20221225,80,37,91
279,20221226,64,26,98
279,20221227,50,28,66
279,20221228,83,52,104
279,20221229,91,66,111
279,20221230,80,41,128
279,20221231,132,108,154
